date,application,page_views
2021-04-19,FIND EQA directory (COVID-19),0
2021-04-19,FIND NGS Capacity (COVID-19),0
2021-04-19,FIND Sars-CoV-2 Policy dashboard,0
2021-04-19,FIND Sars-CoV-2 Test tracker,2794
2021-04-19,FIND Test directory (COVID-19),688
2021-04-19,FIND Test directory (Ebola),0
2021-04-19,FIND Test directory (Monkeypox),0
2021-04-19,FIND Test directory (NTDs),0
2021-04-26,FIND EQA directory (COVID-19),0
2021-04-26,FIND NGS Capacity (COVID-19),0
2021-04-26,FIND Sars-CoV-2 Policy dashboard,0
2021-04-26,FIND Sars-CoV-2 Test tracker,2333
2021-04-26,FIND Test directory (COVID-19),839
2021-04-26,FIND Test directory (Ebola),0
2021-04-26,FIND Test directory (Monkeypox),0
